Mình sẽ chọn icon như này
Section / nội dung	Icon nên dùng	Search keyword
About	👤 / user	user profile line icon
News	📢 / megaphone	announcement line icon
Publications	📄 / file-text	academic paper line icon
Work Experience	💼 / briefcase	briefcase line icon
Education	🎓 / graduation-cap	graduation cap line icon
Best Thesis	🏆 / trophy	academic award trophy
Scholarship	🏅 / award	scholarship award icon
PhD	🎓 / academic-cap	phd graduation icon

News	Icon	Keyword
🏫 Joined NTU as PhD	🎓 graduation-cap / university	university line icon
🏆 Received NTU Research Scholarship	🏆 trophy	academic award trophy
📄 Paper accepted – Ocean Engineering	📄 file-check	paper accepted icon
🤖 Started at VinRobotics	🤖 bot	robotics line icon
📚 Master project completed	✅ circle-check	project completion icon
🐟 AUV manuscript submitted	📤 file-up	paper submission icon
⚙️ Stewart Platform paper submitted	📄 file-up	research paper icon
🏆 Ballbot paper accepted	📄 file-check	publication accepted icon
🎓 Started Master at HUST	🎓 graduation-cap	master degree icon
🎓 Graduated Bachelor	🎓 graduation-cap	graduation line icon
🥇 Best Thesis	🥇 medal / award	academic medal icon
